estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2,
"=A267+IF(H268=H267,I268-I267,I268)/86400000","=IF(H268=H267,I268-I267,I268)",,,current,266,True,578202819,96159832,True,True,True,True,True,1011,0.0,0.0,31.24,58.44,30.9,12.9,0,0,
"=A268+IF(H269=H268,I269-I268,I269)/86400000","=IF(H269=H268,I269-I268,I269)",,,current,267,True,578202819,96460787,True,True,True,True,True,1011,0.0,0.0,31.21,58.47,30.9,12.9,0,0,
"=A269+IF(H270=H269,I270-I269,I270)/86400000","=IF(H270=H269,I270-I269,I270)",,,current,268,True,578202819,96761746,True,True,True,True,True,1011,0.0,0.0,31.16,58.62,30.9,12.9,0,0,
"=A270+IF(H271=H270,I271-I270,I271)/86400000","=IF(H271=H270,I271-I270,I271)",,,current,269,True,578202819,97062708,True,True,True,True,True,1011,0.0,0.0,31.14,58.68,30.9,12.9,0,0,
"=A271+IF(H272=H271,I272-I271,I272)/86400000","=IF(H272=H271,I272-I271,I272)",,,current,270,True,578202819,97363672,True,True,True,True,True,1011,0.0,0.0,31.15,58.76,30.9,12.9,0,0,
"=A272+IF(H273=H272,I273-I272,I273)/86400000","=IF(H273=H272,I273-I272,I273)",,,current,271,True,578202819,97664637,True,True,True,True,True,1011,0.0,0.0,31.18,58.84,30.9,12.9,0,0,
"=A273+IF(H274=H273,I274-I273,I274)/86400000","=IF(H274=H273,I274-I273,I274)",,,current,272,True,578202819,97965607,True,True,True,True,True,1011,0.0,0.0,31.09,58.9,30.9,12.9,0,0,
"=A274+IF(H275=H274,I275-I274,I275)/86400000","=IF(H275=H274,I275-I274,I275)",,,current,273,True,578202819,98266575,True,True,True,True,True,1011,0.0,0.0,31.11,58.97,30.9,12.9,0,0,
"=A275+IF(H276=H275,I276-I275,I276)/86400000","=IF(H276=H275,I276-I275,I276)",,,current,274,True,578202819,98567544,True,True,True,True,True,1011,0.0,0.0,31.09,59.07,30.9,12.9,0,0,
"=A276+IF(H277=H276,I277-I276,I277)/86400000","=IF(H277=H276,I277-I276,I277)",,,current,275,True,578202819,98868516,True,True,True,True,True,1011,0.0,0.0,31.03,59.14,30.8,12.9,0,0,
"=A277+IF(H278=H277,I278-I277,I278)/86400000","=IF(H278=H277,I278-I277,I278)",,,current,276,True,578202819,99169488,True,True,True,True,True,1011,0.0,0.0,31.0,59.23,30.8,12.9,0,0,
"=A278+IF(H279=H278,I279-I278,I279)/86400000","=IF(H279=H278,I279-I278,I279)",,,current,277,True,578202819,99470462,True,True,True,True,True,1011,0.0,0.0,30.97,59.35,30.8,12.9,0,0,
"=A279+IF(H280=H279,I280-I279,I280)/86400000","=IF(H280=H279,I280-I279,I280)",,,current,278,True,578202819,99771474,True,True,True,True,True,1011,0.0,0.0,30.98,59.43,30.8,12.9,0,0,
"=A280+IF(H281=H280,I281-I280,I281)/86400000","=IF(H281=H280,I281-I280,I281)",,,current,279,True,578202819,100072429,True,True,True,True,True,1011,0.0,0.0,30.94,59.48,30.8,12.9,0,0,
"=A281+IF(H282=H281,I282-I281,I282)/86400000","=IF(H282=H281,I282-I281,I282)",,,current,280,True,578202819,100373386,True,True,True,True,True,1011,0.0,0.0,30.94,59.61,30.8,12.9,0,0,
"=A282+IF(H283=H282,I283-I282,I283)/86400000","=IF(H283=H282,I283-I282,I283)",,,current,281,True,578202819,100674345,True,True,True,True,True,1011,0.0,0.0,30.9,59.68,30.8,12.9,0,0,
"=A283+IF(H284=H283,I284-I283,I284)/86400000","=IF(H284=H283,I284-I283,I284)",,,current,282,True,578202819,100975304,True,True,True,True,True,1011,0.0,0.0,30.88,59.7,30.8,12.9,0,0,
"=A284+IF(H285=H284,I285-I284,I285)/86400000","=IF(H285=H284,I285-I284,I285)",,,current,283,True,578202819,101276264,True,True,True,True,True,1011,0.0,0.0,30.86,59.81,30.8,12.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
