estimatedTimeBeijing,actualIntervalMs,anomalyStatus,anomalyNote,source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
"=A76+IF(H77=H76,I77-I76,I77)/86400000","=IF(H77=H76,I77-I76,I77)",,,current,75,True,3906736965,22710577,True,True,True,True,True,1010,0.0,0.0,31.3,60.78,30.4,13.9,0,0,
"=A77+IF(H78=H77,I78-I77,I78)/86400000","=IF(H78=H77,I78-I77,I78)",,,current,76,True,3906736965,23011544,True,True,True,True,True,1010,0.0,0.0,31.24,60.81,30.4,13.9,0,0,
"=A78+IF(H79=H78,I79-I78,I79)/86400000","=IF(H79=H78,I79-I78,I79)",,,current,77,True,3906736965,23312514,True,True,True,True,True,1010,0.0,0.0,31.12,60.85,30.3,14.0,0,0,
"=A79+IF(H80=H79,I80-I79,I80)/86400000","=IF(H80=H79,I80-I79,I80)",,,current,78,True,3906736965,23613485,True,True,True,True,True,1010,0.074,2.011,31.25,60.96,30.3,13.9,0,0,
"=A80+IF(H81=H80,I81-I80,I81)/86400000","=IF(H81=H80,I81-I80,I81)",,,current,79,True,3906736965,23914457,True,True,True,True,True,1010,0.0,0.0,31.16,61.02,30.3,13.9,0,0,
"=A81+IF(H82=H81,I82-I81,I82)/86400000","=IF(H82=H81,I82-I81,I82)",,,current,80,True,3906736965,24215431,True,True,True,True,True,1010,0.0,0.0,31.04,61.06,30.3,13.9,0,0,
"=A82+IF(H83=H82,I83-I82,I83)/86400000","=IF(H83=H82,I83-I82,I83)",,,current,81,True,3906736965,24516412,True,True,True,True,True,1010,0.0,0.0,31.03,61.05,30.3,13.9,0,0,
"=A83+IF(H84=H83,I84-I83,I84)/86400000","=IF(H84=H83,I84-I83,I84)",,,current,82,True,3906736965,24817375,True,True,True,True,True,1010,0.0,0.0,31.05,61.17,30.3,13.9,0,0,
"=A84+IF(H85=H84,I85-I84,I85)/86400000","=IF(H85=H84,I85-I84,I85)",,,current,83,True,3906736965,25118342,True,True,True,True,True,1010,0.0,0.0,30.94,61.18,30.2,13.9,0,0,
"=A85+IF(H86=H85,I86-I85,I86)/86400000","=IF(H86=H85,I86-I85,I86)",,,current,84,True,3906736965,25419312,True,True,True,True,True,1010,0.0,0.0,30.91,61.28,30.2,13.9,0,0,
"=A86+IF(H87=H86,I87-I86,I87)/86400000","=IF(H87=H86,I87-I86,I87)",,,current,85,True,3906736965,25720285,True,True,True,True,True,1010,0.0,0.0,30.86,61.29,30.2,13.9,0,0,
"=A87+IF(H88=H87,I88-I87,I88)/86400000","=IF(H88=H87,I88-I87,I88)",,,current,86,True,3906736965,26021294,True,True,True,True,True,1011,0.0,0.0,30.86,61.39,30.2,13.9,0,0,
"=A88+IF(H89=H88,I89-I88,I89)/86400000","=IF(H89=H88,I89-I88,I89)",,,current,87,True,3906736965,26322240,True,True,True,True,True,1011,0.033,0.89,30.8,61.4,30.2,13.9,0,0,
