source,index,integrityOk,bootSessionId,uptimeMs,windOk,airOk,soilOk,solar1Ok,solar2Ok,airPressureHpa,windVoltage,windSpeedMs,airTemperatureC,airHumidityPercent,soilTemperatureC,soilMoisturePercent,solar1Wm2,solar2Wm2
current,99,True,578202819,29824186,True,True,True,True,True,1014,0.032,0.857,34.03,73.34,29.9,13.6,119,959
current,100,True,578202819,30125159,True,True,True,True,True,1014,0.0,0.0,39.39,73.97,30.0,13.6,120,695
current,101,True,578202819,30426134,True,True,True,True,True,1015,0.0,0.0,40.64,74.46,30.3,13.7,177,899
current,102,True,578202819,30727139,True,True,True,True,True,1014,0.0,0.0,42.91,74.79,30.7,13.9,215,1014
current,103,True,578202819,31028087,True,True,True,True,True,1014,0.0,0.0,44.05,75.08,31.2,13.9,222,1030
current,104,True,578202819,31329037,True,True,True,True,True,1014,0.0,0.0,44.61,74.68,31.7,13.9,228,1041
current,105,True,578202819,31629987,True,True,True,True,True,1015,0.0,0.0,42.57,74.41,32.1,13.9,233,1046
current,106,True,578202819,31930941,True,True,True,True,True,1014,0.016,0.429,43.36,74.04,32.5,13.9,233,1049
current,107,True,578202819,32231898,True,True,True,True,True,1014,0.0,0.0,43.73,73.79,32.9,13.9,235,1058
current,108,True,578202819,32532858,True,True,True,True,True,1015,0.0,0.0,43.43,73.32,33.2,13.9,237,1071
current,109,True,578202819,32833819,True,True,True,True,True,1015,0.0,0.0,44.64,73.12,33.5,13.9,236,1072
current,110,True,578202819,33134783,True,True,True,True,True,1014,0.0,0.0,45.06,73.36,33.7,13.8,237,1084
current,111,True,578202819,33435748,True,True,True,True,True,1014,0.0,0.0,47.3,73.01,33.9,13.8,246,1076
